,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
62,BBC,Tue Mar 27 15:40:40 +0000 2018,RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe 🎭😂 https://t.co/3XlEb5gr15,0.6114,0.25,0.75,0.0,63
63,BBC,Tue Mar 27 15:38:26 +0000 2018,"RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k",0.0,0.0,1.0,0.0,64
64,BBC,Tue Mar 27 15:36:22 +0000 2018,RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…,-0.3064,0.0,0.866,0.134,65
65,BBC,Tue Mar 27 15:33:24 +0000 2018,"RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF",0.0,0.0,1.0,0.0,66
66,BBC,Tue Mar 27 15:26:23 +0000 2018,"RT @BBCR1: (•_•)
&lt;)   )╯who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )╯Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY",0.0,0.0,1.0,0.0,67
67,BBC,Tue Mar 27 14:30:37 +0000 2018,"RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space 👨‍🚀 https://t…",-0.5994,0.0,0.86,0.14,68
68,BBC,Tue Mar 27 13:33:01 +0000 2018,❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5,0.0,0.0,1.0,0.0,69
69,BBC,Tue Mar 27 12:00:08 +0000 2018,The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks,0.0,0.0,1.0,0.0,70
70,BBC,Tue Mar 27 11:05:06 +0000 2018,"There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI",0.0,0.0,1.0,0.0,71
71,BBC,Tue Mar 27 11:00:06 +0000 2018,"🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds",0.25,0.125,0.875,0.0,72
